ItemNo;Description;Module;ItemMainGroup;ItemSubGroup;Stock;Price_B2B;ManufacturerCode;ManufacturerName;ReferenceNumber;GTIN;GrossWeight
HHWX0149;Roborock Qrevo Curv 2 Flow X White;BABHOME;HW;;12;588,70;ROBOROCK;Roborock;QC2FX02-00;6936905905154;19,1
LEGO0041;LEGO Star Wars Captain Rex Y-Wing Microfighter;BABHOME;DV;;500;6,29;LEGO;Lego;75391;5702017584478;0,1365
LEGO0045;LEGO Speed Champions Visa Cash App RB VCARB 01 F1 Rennauto 77246;BABHOME;DV;;93;14,41;LEGO;Lego;77246;5702017816135;0,31575
LEGO0047;LEGO Star Wars Clone Trooper & Battle Droid Battle Pack 75372;BABHOME;DV;;80;15,73;LEGO;Lego;75372;5702017584317;0,24288
LEGO0048;LEGO NINJAGO Lloyds grüner Walddrache 71829;BABHOME;DV;;194;10,35;LEGO;Lego;71829;5702017815640;0,2395
LEGO0062;LEGO Botanical Lotusblumen;BABHOME;DV;;92;6,70;LEGO;Lego;40647;5702017471549;0,16
MBAI0031;TUF GAMING B760-PLUS WIFI | 90MB1ER0-M1EAY0;MAINBOARD;;;17;105,00;ASUS;Asustek;90MB1ER0-M1EAY0;4711387095119;1,97
MBAI0044;ProArt X870E-CREATOR WIFI | 90MB1IG0-M0EAY0;MAINBOARD;;;140;345,01;ASUS;Asustek;90MB1IG0-M0EAY0;4711387730775;2,81
MBAI0046;ASUS PRIME B840-PLUS WIFI | 90MB1IZ0-M0EAY0;MAINBOARD;;;150;112,50;ASUS;Asustek;90MB1IZ0-M0EAY0;4711387797273;1,82
MBAI0047;ASUS PRIME B840M-A WIFI | 90MB1J20-M0EAY0;MAINBOARD;;;45;106,50;ASUS;Asustek;90MB1J20-M0EAY0;4711387797143;1,546
MBAI0048;PRIME B850-PLUS WIFI | 90MB1L80-M0EAY0;MAINBOARD;;;100;115,51;ASUS;Asustek;90MB1L80-M0EAY0;4711387931509;1,81
MOHP0024;HP 524pm - Series 5 Pro - LED-Monitor - 61 cm (24") (9E0G9UT#ABB);PERIPHERIE;MONITOR;;6;239,00;HP;Hewlett Packard;9E0G9UT#ABB;0198122902057;8,96
MOL0000;Lenovo ThinkVision T24D-40 - LED-Monitor - 61 cm (23,8") (64B9GAT1EU);PERIPHERIE;MONITOR;;29;144,01;LENOVO;Lenovo;64B9GAT1EU;0198156725684;7,74
NASS0084;Synology DiskStation DS925+ - NAS-Server;NAS;OHNE HDD;;70;522,73;SYN;Synology;DS925+;4711174726004;4,025
